STUDENTID,label,pred,data_length
2333000033,1,0.77,10m
2333000882,1,0.4,10m
2333000955,1,0.6168831168831169,10m
2333001552,1,0.8896103896103896,10m
2333001935,1,0.8536585365853658,10m
2333001986,1,0.624,10m
2333002087,0,0.6558441558441559,10m
2333002141,1,0.82,10m
2333002494,0,0.6428571428571429,10m
2333002672,1,0.72,10m
2333002923,1,0.37,10m
2333003024,1,0.78,10m
2333003181,0,0.4035476718403548,10m
2333003245,1,0.6233766233766234,10m
2333003695,0,0.65,10m
2333003776,1,0.8311688311688312,10m
2333003971,1,0.662,10m
2333004276,1,0.75,10m
2333004381,0,0.468,10m
2333004578,1,0.338,10m
2333004721,0,0.26,10m
2333005566,1,0.55,10m
2333005825,0,0.6784922394678492,10m
2333006503,1,0.44,10m
2333008034,1,0.5194805194805194,10m
2333008239,1,0.44805194805194803,10m
2333008468,1,0.66,10m
2333008484,0,0.5077605321507761,10m
2333008492,1,0.8691796008869179,10m
2333008565,1,0.72,10m
2333008646,1,0.688,10m
2333008719,1,0.9002217294900222,10m
2333008816,0,0.6740576496674058,10m
2333008905,1,0.9379157427937915,10m
2333009154,1,0.71,10m
2333009821,0,0.57,10m
2333010772,0,0.8,10m
2333011710,0,0.8181818181818182,10m
2333012457,0,0.487012987012987,10m
2333013585,0,0.568,10m
2333013909,1,0.538,10m
2333014344,0,0.618,10m
2333014689,1,0.64,10m
2333014948,1,0.7,10m
2333015006,1,0.6,10m
2333015707,1,0.6053215077605322,10m
2333015880,1,0.46,10m
2333016134,1,0.61,10m
2333016541,1,0.676,10m
2333016797,0,0.6623376623376623,10m
2333017157,0,0.7597402597402597,10m
2333017327,1,0.63,10m
2333017424,1,0.72,10m
2333017483,1,0.6493506493506493,10m
2333017831,0,0.4675324675324675,10m
2333018331,0,0.67,10m
2333018676,0,0.8246753246753247,10m
2333019036,1,0.648,10m
2333019711,0,0.45454545454545453,10m
2333019788,0,0.35033259423503327,10m
2333020280,1,0.59,10m
2333020476,1,0.6208425720620843,10m
2333020905,1,0.626,10m
2333021014,1,0.564,10m
2333021235,1,0.4,10m
2333021260,1,0.828,10m
2333021316,0,0.6363636363636364,10m
2333021413,0,0.6407982261640798,10m
2333021766,0,0.15,10m
2333021928,1,0.914,10m
2333022088,1,0.76,10m
2333022100,1,0.461038961038961,10m
2333023378,1,0.6883116883116883,10m
2333023548,0,0.78,10m
2333023769,1,0.65,10m
2333023955,1,0.432,10m
2333024218,1,0.726,10m
2333024498,0,0.64,10m
2333024901,1,0.4025974025974026,10m
2333024994,1,0.4745011086474501,10m
2333025761,1,0.766,10m
2333026181,0,0.2792207792207792,10m
2333026440,1,0.49223946784922396,10m
2333026512,0,0.068,10m
2333026695,0,0.64,10m
2333027047,0,0.5909090909090909,10m
2333027632,0,0.18,10m
2333028558,0,0.778,10m
2333028655,1,0.426,10m
2333028752,1,0.652,10m
2333028841,0,0.5844155844155844,10m
2333028931,0,0.6038961038961039,10m
2333029261,1,0.51,10m
2333029341,0,0.48,10m
2333029350,0,0.7117516629711752,10m
2333029759,1,0.698,10m
2333029953,0,0.7117516629711752,10m
2333031389,1,0.79,10m
2333031630,1,0.544,10m
2333031729,0,0.35064935064935066,10m
2333032644,1,0.65,10m
2333032911,1,0.72,10m
2333032997,0,0.5875831485587583,10m
2333033276,0,0.6428571428571429,10m
2333033420,0,0.76,10m
2333033519,1,0.69,10m
2333033675,1,0.474025974025974,10m
2333033861,1,0.7804878048780488,10m
2333034027,0,0.5831485587583148,10m
2333034116,1,0.43680709534368073,10m
2333034361,1,0.6883116883116883,10m
2333034523,0,0.3082039911308204,10m
2333034817,0,0.56,10m
2333034965,0,0.66,10m
2333035058,0,0.76,10m
2333035309,1,0.79,10m
2333035635,1,0.368,10m
2333036071,1,0.6607538802660754,10m
2333036224,1,0.6895787139689579,10m
2333036321,1,0.672,10m
2333036488,1,0.5099778270509978,10m
2333037174,1,0.6651884700665188,10m
2333037328,0,0.7649667405764967,10m
2333037352,1,0.88470066518847,10m
2333037514,1,0.47,10m
2333037611,1,0.6038961038961039,10m
2333037859,0,0.6818181818181818,10m
2333037867,0,0.64,10m
2333038022,0,0.56,10m
2333038707,1,0.558,10m
2333039118,1,0.8913525498891353,10m
2333039304,1,0.52,10m
2333039398,1,0.5698447893569845,10m
2333039967,0,0.6493506493506493,10m
2333042283,0,0.5064935064935064,10m
2333042542,1,0.7792207792207793,10m
2333042631,0,0.5875831485587583,10m
2333042704,0,0.43,10m
2333043051,1,0.69,10m
2333043298,0,0.67,10m
2333043441,0,0.5676274944567627,10m
2333043638,0,0.63,10m
2333043999,0,0.52,10m
2333044588,1,0.446,10m
2333044677,0,0.49,10m
2333045029,0,0.5388026607538803,10m
2333045681,0,0.8181818181818182,10m
2333045789,1,0.44805194805194803,10m
2333045975,1,0.4155844155844156,10m
2333046190,1,0.5064935064935064,10m
2333046441,1,0.756,10m
2333046530,0,0.16233766233766234,10m
2333046637,1,0.7871396895787139,10m
2333047471,0,0.58,10m
2333047668,0,0.476,10m
2333048079,0,0.55,10m
2333048761,0,0.14935064935064934,10m
2333049172,1,0.558,10m
2333049211,1,0.48,10m
2333050308,1,0.6623376623376623,10m
2333050405,1,0.824,10m
2333050626,0,0.4805194805194805,10m
2333050961,1,0.65,10m
2333051568,1,0.8,10m
2333052599,0,0.65,10m
2333052670,0,0.6651884700665188,10m
2333052751,1,0.61,10m
2333053102,1,0.738359201773836,10m
2333053269,1,0.71,10m
2333053617,0,0.549889135254989,10m
2333053790,0,0.718,10m
2333054206,1,0.6493506493506493,10m
2333054362,1,0.38311688311688313,10m
2333054494,0,0.56,10m
2333054559,1,0.7,10m
2333054711,1,0.6407982261640798,10m
2333055067,1,0.66,10m
2333055091,1,0.51,10m
2333055318,1,0.5698447893569845,10m
2333055393,0,0.7649667405764967,10m
2333055580,0,0.564935064935065,10m
2333055652,1,0.59,10m
2333055695,0,0.5787139689578714,10m
2333055741,0,0.6008869179600886,10m
2333056683,0,0.7472283813747228,10m
2333056845,0,0.7361419068736141,10m
2333056853,0,0.6873614190687362,10m
2333056861,0,0.33,10m
2333056942,1,0.6688311688311688,10m
2333056951,0,0.712,10m
2333057108,1,0.7804878048780488,10m
2333057132,1,0.87,10m
2333057191,0,0.12987012987012986,10m
2333057451,0,0.64,10m
2333057469,0,0.48,10m
2333057493,0,0.662,10m
2333057701,1,0.86,10m
2333057710,1,0.84,10m
2333057736,1,0.56,10m
2333058040,1,0.25,10m
2333058082,0,0.72,10m
2333058201,1,0.79,10m
2333058295,1,0.584,10m
2333058392,0,0.408,10m
2333058554,1,0.6428571428571429,10m
2333058562,1,0.8957871396895787,10m
2333058589,1,0.8337028824833703,10m
2333058821,1,0.66,10m
2333059232,0,0.551948051948052,10m
2333059321,0,0.6363636363636364,10m
2333059488,0,0.6674057649667405,10m
2333059640,1,0.538,10m
2333059925,1,0.628,10m
2333060176,0,0.8337028824833703,10m
2333060729,1,0.7012987012987013,10m
2333061181,1,0.72,10m
2333061296,0,0.57,10m
2333062829,0,0.44,10m
2333063124,1,0.4675324675324675,10m
2333063574,0,0.6688311688311688,10m
2333064422,0,0.456,10m
2333064953,1,0.6883116883116883,10m
2333065364,0,0.378,10m
2333065950,1,0.6,10m
2333066999,0,0.5,10m
2333067073,1,0.614,10m
2333067154,1,0.61,10m
2333067502,0,0.54,10m
2333067669,1,0.726,10m
2333068266,0,0.8580931263858093,10m
2333068291,0,0.664,10m
2333068967,0,0.2616407982261641,10m
2333069467,1,0.7467532467532467,10m
