STUDENTID,pred,data_length
2333000106,0.4233333333333333,20m
2333000190,0.7516666666666666,20m
2333000289,0.7575,30m
2333000386,0.40916666666666673,20m
2333000637,0.775,10m
2333001048,0.7425,10m
2333001633,0.6475,30m
2333001731,0.505,10m
2333001803,0.595,10m
2333001897,0.5475,30m
2333002249,0.49,10m
2333002583,0.7616666666666666,20m
2333003083,0.7125,10m
2333003270,0.5225,30m
2333003865,0.61,10m
2333003938,0.715,30m
2333004446,0.6925,30m
2333004535,0.69,10m
2333005221,0.06,10m
2333005311,0.6275,10m
2333005728,0.14208333333333334,20m
2333005914,0.725,30m
2333008212,0.7487500000000002,20m
2333008221,0.2375,10m
2333008361,0.5020833333333335,20m
2333008476,0.2075,10m
2333008506,0.5758333333333332,20m
2333008620,0.5475,10m
2333008638,0.5625,30m
2333008778,0.6602083333333336,20m
2333008921,0.4808333333333332,20m
2333008930,0.65,30m
2333008972,0.48,30m
2333008981,0.6775,30m
2333008999,0.5825,10m
2333009057,0.5725,30m
2333009553,0.1575,30m
2333009618,0.63,30m
2333009723,0.36916666666666664,20m
2333009812,0.6170833333333333,20m
2333010501,0.585,30m
2333010756,0.5475,10m
2333011361,0.6533333333333334,20m
2333011540,0.66,30m
2333012112,0.4125,30m
2333012643,0.5925,30m
2333014506,0.565,30m
2333014841,0.2825,30m
2333015031,0.845,30m
2333015138,0.705,10m
2333015197,0.7358333333333333,20m
2333015286,0.8375,30m
2333015359,0.6075,20m
2333015952,0.505,10m
2333016037,0.5568750000000001,20m
2333016983,0.53,30m
2333017076,0.7075,30m
2333017921,0.585,10m
2333018480,0.7133333333333334,20m
2333018781,0.69,10m
2333018978,0.5212500000000001,20m
2333019371,0.6925,30m
2333019966,0.6075,30m
2333020123,0.6658333333333333,20m
2333020310,0.7687500000000002,20m
2333020565,0.7685416666666669,20m
2333022266,0.7075,30m
2333022355,0.7925,10m
2333022436,0.22791666666666666,20m
2333022703,0.725,20m
2333022762,0.7625,30m
2333022959,0.81,10m
2333023211,0.8175,30m
2333023653,0.5125,30m
2333024251,0.53,10m
2333024315,0.7775,10m
2333024561,0.6775,30m
2333024820,0.065,30m
2333026008,0.7070833333333334,20m
2333026296,0.6725,10m
2333026768,0.54,30m
2333026857,0.7462499999999999,20m
2333026946,0.755,10m
2333027454,0.71,10m
2333028230,0.54,10m
2333028337,0.6508333333333334,20m
2333028663,0.6025,10m
2333028736,0.5679166666666667,20m
2333028833,0.5325,30m
2333029058,0.565,10m
2333029538,0.4775,30m
2333029945,0.7220833333333332,20m
2333030439,0.67,30m
2333030684,0.51,30m
2333030781,0.48625000000000007,20m
2333031192,0.675,30m
2333031796,0.57,20m
2333031826,0.605,30m
2333031974,0.3354166666666666,20m
2333032041,0.7775000000000002,20m
2333032130,0.4475,10m
2333032237,0.56,30m
2333032661,0.66,30m
2333032733,0.66,10m
2333032881,0.63,10m
2333033268,0.875,30m
2333033331,0.5875,10m
2333033586,0.7125,10m
2333033772,0.6408333333333335,20m
2333034183,0.7249999999999999,20m
2333034213,0.6975,30m
2333034612,0.7675,10m
2333034710,0.5725,30m
2333035384,0.20458333333333328,20m
2333035414,0.7710416666666664,20m
2333035716,0.46,30m
2333035813,0.68,10m
2333035970,0.11541666666666667,20m
2333036615,0.4125,10m
2333036666,0.63,10m
2333036674,0.7825,30m
2333036836,0.635,10m
2333036925,0.6525,30m
2333037107,0.55,10m
2333037263,0.6,10m
2333037271,0.78,10m
2333037361,0.5683333333333335,20m
2333037671,0.735,10m
2333037778,0.686666666666667,20m
2333037956,0.45624999999999993,20m
2333038057,0.6016666666666667,20m
2333038456,0.73,10m
2333038863,0.745,10m
2333041945,0.745,30m
2333042119,0.5937499999999999,20m
2333042381,0.5029166666666667,20m
2333042607,0.63,10m
2333043221,0.8,30m
2333043247,0.42333333333333345,20m
2333043395,0.3175,30m
2333044928,0.6262500000000002,20m
2333045592,0.6675,10m
2333045860,0.7325,30m
2333046289,0.405,10m
2333046726,0.6845833333333333,20m
2333047048,0.6725,30m
2333047137,0.5375,10m
2333047315,0.6925,10m
2333047722,0.7016666666666664,20m
2333047820,0.64,30m
2333047986,0.7891666666666669,20m
2333048176,0.72,10m
2333048231,0.8570833333333333,20m
2333048419,0.6425,30m
2333048915,0.5,10m
2333049016,0.6425,10m
2333049083,0.4875,30m
2333049369,0.5204166666666666,20m
2333051720,0.7566666666666667,20m
2333051916,0.6697916666666666,20m
2333052416,0.525,10m
2333053196,0.508125,20m
2333053510,0.7537500000000001,20m
2333053862,0.4877083333333333,20m
2333053897,0.64,30m
2333055245,0.29875000000000007,20m
2333055491,0.6775,10m
2333055849,0.5775,30m
2333056438,0.61,30m
2333056896,0.45125,20m
2333057001,0.59,10m
2333057035,0.35208333333333336,20m
2333057043,0.6687500000000002,20m
2333057531,0.595,30m
2333057540,0.755,10m
2333057621,0.6075,30m
2333057698,0.6475,10m
2333057965,0.6375,10m
2333058031,0.7775,30m
2333058058,0.805,10m
2333058244,0.705,10m
2333058309,0.52,10m
2333058406,0.64,10m
2333058546,0.7925,10m
2333058732,0.5641666666666666,20m
2333058805,0.7675,30m
2333058937,0.6016666666666667,20m
2333059330,0.5425,10m
2333059836,0.4975,30m
2333060702,0.31,30m
2333060711,0.5525,10m
2333060770,0.6595833333333334,20m
2333061199,0.4875,30m
2333061440,0.8275,10m
2333061628,0.5225,10m
2333062128,0.3425,30m
2333062667,0.7225,30m
2333062811,0.5575,30m
2333063019,0.535,30m
2333063311,0.57,30m
2333063418,0.57,10m
2333064074,0.74,10m
2333064350,0.6137500000000001,20m
2333065275,0.65,30m
2333065526,0.31666666666666676,20m
2333065801,0.4075,30m
2333065879,0.46208333333333357,20m
2333066051,0.205,30m
2333066301,0.42,10m
2333067243,0.67625,20m
2333067341,0.7208333333333333,20m
2333067596,0.495,30m
2333067910,0.7875,10m
2333068011,0.6275,10m
2333068193,0.595,30m
2333068401,0.5666666666666668,20m
2333068444,0.52,10m
2333068851,0.605,30m
2333068860,0.44,30m
2333068959,0.7579166666666666,20m
2333069742,0.345,30m
2333069793,0.5191666666666668,20m
2333069891,0.67,30m
2333069998,0.335,30m
2333070147,0.8225,30m
2333070244,0.628125,20m
2333070252,0.5375,30m
2333070309,0.5741666666666668,20m
2333070643,0.315,30m
2333070651,0.5625,10m
2333071241,0.47,10m
2333071933,0.28,30m
2333072433,0.15291666666666667,20m
2333072697,0.3825,10m
2333072948,0.64,10m
2333073383,0.5575,30m
2333073545,0.6016666666666667,20m
2333073723,0.1525,30m
2333073979,0.65,10m
2333074070,0.595,10m
2333074321,0.6825,10m
2333074576,0.525,30m
2333074665,0.587916666666667,20m
2333076196,0.59,10m
2333076374,0.625,30m
2333076463,0.495,30m
2333076528,0.6675,30m
2333076684,0.5725,10m
2333077214,0.1,30m
2333079161,0.745,10m
2333079357,0.605,20m
2333079683,0.2575,30m
2333079764,0.5425,30m
2333079799,0.61,10m
2333079861,0.6225,10m
2333079870,0.6475000000000002,20m
2333079942,0.5125,10m
2333079969,0.7008333333333333,20m
2333080029,0.12625000000000003,20m
2333080169,0.35,30m
2333080967,0.4525,10m
2333081149,0.44375000000000014,20m
2333081475,0.4175,30m
2333081645,0.7435416666666668,20m
2333081904,0.7045833333333335,20m
2333082064,0.5875,10m
2333082412,0.83,30m
2333082668,0.5425,10m
2333082803,0.605,10m
2333083290,0.7425,30m
2333083354,0.4,10m
2333084385,0.7145833333333332,20m
2333084547,0.87,30m
2333084709,0.6750000000000002,20m
2333085225,0.6425,10m
2333085551,0.725,10m
2333085802,0.6675,10m
2333085993,0.6820833333333334,20m
2333087007,0.5175,10m
2333087180,0.68,30m
2333087431,0.6025,30m
2333087775,0.57,30m
2333087872,0.785,30m
2333088127,0.65,30m
2333088135,0.85,30m
2333088330,0.6062500000000001,20m
2333088381,0.67875,20m
2333088488,0.735,10m
2333088551,0.7375,30m
2333088577,0.7625,30m
2333088640,0.51,30m
2333088721,0.6325,30m
2333088798,0.7254166666666668,20m
2333089042,0.595,10m
2333089140,0.77,10m
2333089221,0.5975,30m
2333089425,0.6112500000000001,20m
2333089476,0.775,10m
2333089531,0.79,10m
2333089573,0.6925,10m
2333089590,0.4875,30m
2333089727,0.6783333333333332,20m
2333089778,0.5325,20m
2333089913,0.625,30m
2333091705,0.2325,30m
2333091772,0.76,30m
2333092370,0.585,30m
2333092469,0.6125,30m
2333092621,0.5925,30m
2333092876,0.5604166666666666,20m
2333092906,0.6575,10m
2333093228,0.3808333333333334,20m
2333093252,0.8550000000000001,20m
2333093601,0.65,30m
2333094437,0.6675,30m
2333094453,0.7741666666666666,20m
2333094755,0.785,10m
2333094925,0.7216666666666666,20m
2333094941,0.6025,10m
2333095107,0.7025,10m
2333095204,0.85,30m
2333095514,0.3562500000000001,20m
2333095701,0.575,30m
2333096553,0.51,10m
2333096642,0.6525,10m
2333097908,0.5175,10m
2333098505,0.8125,30m
2333098688,0.6,10m
2333099536,0.715,10m
2333100291,0.155,10m
2333100640,0.7849999999999998,20m
2333101425,0.475,10m
2333101484,0.6175,30m
2333102481,0.77,10m
2333103371,0.6487499999999998,20m
2333103436,0.7425,30m
2333103541,0.7087499999999999,20m
2333103711,0.29166666666666663,20m
2333104068,0.78,30m
2333104122,0.495,10m
2333104165,0.5525000000000001,20m
2333104386,0.375,30m
2333104904,0.5970833333333333,20m
2333105161,0.3675,30m
2333105412,0.8158333333333334,20m
2333105480,0.6670833333333335,20m
2333105617,0.79,10m
2333105668,0.47,30m
2333105765,0.7075,10m
2333106176,0.675,30m
2333107806,0.7225,30m
2333108217,0.6920833333333332,20m
2333108314,0.5125,30m
2333108403,0.7175,30m
2333108900,0.6508333333333334,20m
2333109345,0.7270833333333333,20m
2333109507,0.6891666666666666,20m
2333110106,0.67375,20m
2333110181,0.5847916666666664,20m
2333110297,0.58,10m
2333110513,0.5925,30m
2333110548,0.535,30m
2333110696,0.8091666666666668,20m
2333110700,0.05,30m
2333110955,0.6841666666666667,20m
2333111048,0.275,10m
2333111714,0.7,10m
2333112052,0.43,30m
2333112303,0.6025,30m
2333112494,0.58,30m
2333112656,0.7841666666666666,20m
2333112834,0.7712500000000001,20m
2333113083,0.7575,10m
2333113181,0.7575,10m
2333113407,0.6172916666666667,20m
2333113938,0.705,10m
2333114535,0.635,10m
2333114721,0.7783333333333334,20m
2333114942,0.6837500000000003,20m
2333115281,0.5325,10m
2333115388,0.1325,30m
2333115477,0.6425,10m
2333115736,0.605,10m
