STUDENTID,sec_spent_VH098740,sec_spent_VH098759,sec_spent_VH098808,sec_spent_VH098810,sec_spent_VH134366,sec_spent_VH139047,sec_spent_VH356862,times_entered_VH098519,times_entered_VH098759,times_entered_VH098808,times_entered_VH098810,times_entered_VH134366,times_entered_VH139047,num_actions_VH098519,num_actions_VH098740,num_actions_VH098759,num_actions_VH098808,num_actions_VH098810,num_actions_VH356862,count_Click Choice,count_DropChoice,count_Eliminate Choice,count_Enter Item,count_Math Keypress,count_Move Calculator,count_Next,count_Open Calculator,count_Vertical Item Scroll,percentile5_VH098519,percentile5_VH098759,percentile5_VH098808,percentile5_VH098810,percentile5_VH139047,percentile5_VH356862,percentile5_vh_count,sec_spent_std,poly_delta_sec_deg0_coeff0,poly_delta_sec_deg1_coeff0,poly_delta_sec_deg1_coeff1,poly_delta_sec_deg2_coeff0,poly_delta_sec_deg2_coeff1,poly_delta_sec_deg2_coeff2,poly_delta_sec_deg3_coeff0,poly_delta_sec_deg3_coeff1,poly_delta_sec_deg3_coeff3,poly_per_item_sec_deg1_coeff0,poly_per_item_sec_deg1_coeff1,poly_per_item_sec_deg2_coeff0,poly_per_item_sec_deg2_coeff1,poly_per_item_sec_deg3_coeff1,poly_per_item_sec_deg3_coeff2,poly_per_item_sec_deg3_coeff3,answer_count_top1,count_Click Progress Navigator,percentile5_VH098753,count_Draw,count_Erase,count_Highlight,count_Scratchwork Draw Mode On,percentile5_VH134387,count_TextToSpeech,count_Clear Scratchwork,percentile5_VH098783,percentile5_VH139196,sec_spent_BlockRev,percentile5_VH098812,count_Equation Editor Button,times_entered_VH098522,percentile5_VH098522,percentile5_VH134373
2333000033,67.74,51.724,137.887,22.863,76.126,190.666,7.27,1,1.0,1.0,1,1.0,1.0,3,6.0,3.0,6.0,3,2,5.0,28.0,3.0,8,4.0,2.0,7,1.0,4.0,1,1.0,1.0,1,1.0,1,8,57.07151614860078,9.099939393939401,-0.12778248617054588,13.252870194482131,0.0018155001550249539,-0.24578999624716777,14.511616968632762,-0.00010364339780637359,0.011920731441146385,15.869760053487482,3.5490952380952403,62.383666666666635,-3.2875357142857133,26.561845238095238,15.519608225108112,-22.694960317459945,58.1780606060604,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333000882,71.897,136.827,34.887,17.923,172.166,37.159,8.224,1,1.0,3.0,1,1.0,3.0,3,3.0,3.0,7.0,2,2,5.0,4.0,0.0,13,38.0,0.0,1,0.0,6.0,1,1.0,1.0,1,0.0,1,8,51.509147256927115,6.974431818181821,-0.06525125920185972,9.812861593462713,0.0021755425141551914,-0.2545234579333614,12.52576310861424,0.0002531870927557912,-0.030865373090475573,4.474793339619211,-1.8863166666666673,64.57059999999997,-2.3063668831168864,16.564618398268433,12.98705735930732,-29.570544733044642,64.45530303030291,5,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333000955,51.843,87.414,95.42,16.3,126.107,73.88,10.04,1,1.0,1.0,1,1.0,1.0,11,9.0,8.0,77.0,3,2,6.0,12.0,4.0,10,35.0,3.0,9,1.0,6.0,1,1.0,1.0,1,1.0,1,10,34.32231104981132,2.834600938967134,-0.0006995946761507152,2.9087579746391126,-5.963395815576447e-05,0.011942804452871351,2.464166938601837,-4.793643065874163e-06,0.0014647445367922192,4.715673975640001,-1.3267515151515128,65.79038181818177,-1.8820189393939457,15.61141893939399,5.711172494172493,-10.317923659673621,57.380111888111905,11,0.0,1.0,95.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333001552,61.04,58.444,87.2,19.61,170.733,60.633,19.313,1,1.0,1.0,1,1.0,1.0,3,11.0,3.0,10.0,3,2,5.0,12.0,3.0,9,25.0,8.0,8,3.0,13.0,1,1.0,1.0,1,1.0,1,9,44.606954828940204,5.515596330275226,-0.03883615976276528,7.612748957464556,0.0013101498215105348,-0.1803323404859031,10.136097513693848,2.4026587095330223e-05,-0.00258215728793296,8.664545939183578,1.266766666666668,61.20115555555554,-3.1621601731601747,26.564048051948063,5.331163059163059,0.9425229677729526,43.57831313131314,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333001935,35.243,41.287,100.5,19.11,180.67,80.676,13.253,1,1.0,1.0,1,1.0,1.0,3,3.0,4.0,12.0,3,2,5.0,4.0,0.0,9,19.0,12.0,8,4.0,2.0,1,1.0,1.0,1,1.0,1,9,48.4500853112424,7.2377999999999965,-0.07795507133085795,10.511912995896035,0.00349400306204162,-0.3714513285423542,14.571944553988402,0.00020015912945598157,-0.02172604724941208,8.850355806663277,3.262183333333328,49.70815555555556,-1.654079004329006,16.494815367965384,27.99242604617601,-72.9388082010582,75.77519191919195,8,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333001986,0.0,308.13,64.967,24.377,0.0,114.306,10.03,1,1.0,1.0,1,0.0,1.0,16,0.0,51.0,6.0,3,2,3.0,28.0,4.0,6,0.0,16.0,5,5.0,0.0,1,1.0,1.0,1,1.0,1,6,102.6469110624702,6.321351351351354,-0.001835837135837148,6.422322393822393,0.005141389934602567,-0.5673887299421192,16.696533279803184,9.47999174149308e-05,-0.010500596438860992,10.55861782685613,-32.88982857142856,181.21357142857138,4.933339285714283,-57.556524999999986,10.200630952380816,-67.17811111111081,199.76495238095225,6,0.0,0.0,11.0,0.0,18.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333002087,34.837,75.8,46.36,17.06,146.93,72.243,12.997,1,1.0,1.0,1,1.0,1.0,6,5.0,7.0,7.0,3,2,6.0,14.0,0.0,11,54.0,6.0,10,6.0,7.0,1,1.0,1.0,1,1.0,1,11,39.73147006493293,4.114620000000003,-0.04080851415618478,7.154854304635763,0.0012086190174913423,-0.2208927477623948,11.596932066922282,1.237248052719855e-05,-0.0015566303803375347,9.591573203616777,-2.350081818181819,65.13013636363637,0.474700466200464,-7.0970864801864595,12.674755827505802,-53.619964257964206,101.53077622377631,7,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333002141,0.0,93.45,107.293,59.046,0.0,287.19,8.827,1,1.0,1.0,1,0.0,1.0,14,0.0,11.0,10.0,3,2,4.0,4.0,11.0,6,0.0,5.0,4,3.0,0.0,1,1.0,1.0,1,1.0,1,6,86.58410281483548,9.742772727272733,0.08280336081828618,7.051663500678426,0.009597662941207171,-0.5410447303601801,13.706043139915392,-0.00024171389396295757,0.03316476760259555,16.873462006405973,2.9829428571428567,79.30714285714285,-7.93291071428574,42.647496428571536,94.03701984126945,-143.61757671957562,93.65207936507878,2,1.0,0.0,7.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333002494,0.0,0.0,86.886,47.42,0.0,315.984,5.43,1,0.0,2.0,1,0.0,2.0,3,0.0,0.0,11.0,3,2,4.0,32.0,2.0,7,0.0,5.0,5,2.0,0.0,1,0.0,1.0,1,1.0,1,5,108.74146645323485,10.356610169491525,-0.11341052016364703,13.645515254237285,0.025565623945752215,-1.5962167090172756,27.732174048346756,-0.0001314739363800477,0.037003856410816306,28.94920198262957,-10.738100000000006,138.01479999999992,-10.62378571428573,31.75704285714292,256.68021428571285,-351.3786904761876,170.2280285714278,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333002672,58.134,115.54,140.47,26.07,123.113,39.833,11.973,1,1.0,1.0,1,1.0,1.0,40,10.0,14.0,7.0,3,2,5.0,4.0,0.0,8,2.0,9.0,7,5.0,9.0,1,1.0,1.0,1,0.0,1,7,45.05970739179711,4.004353333333337,-0.02344629894661988,5.751102604856515,-0.0006507702634104747,0.07351847030154088,3.359304963401881,8.73176648035297e-06,-0.002602320071769364,1.944041042380018,-8.35986904761904,103.95341666666661,-4.5428273809523745,23.43992261904757,-1.3033917748917725,14.955686507936495,75.3930606060606,8,0.0,0.0,67.0,2.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
