STUDENTID,sec_spent_VH098519,sec_spent_VH098740,sec_spent_VH098753,sec_spent_VH098759,sec_spent_VH098783,sec_spent_VH098808,sec_spent_VH098810,sec_spent_VH098812,sec_spent_VH134366,sec_spent_VH134373,sec_spent_VH134387,sec_spent_VH139047,sec_spent_VH139196,sec_spent_VH356862,times_entered_VH098519,times_entered_VH098740,times_entered_VH098753,times_entered_VH098759,times_entered_VH098783,times_entered_VH098808,times_entered_VH098810,times_entered_VH098812,times_entered_VH134366,times_entered_VH134387,times_entered_VH139047,num_actions_VH098519,num_actions_VH098740,num_actions_VH098753,num_actions_VH098759,num_actions_VH098783,num_actions_VH098808,num_actions_VH098810,num_actions_VH098812,num_actions_VH134366,num_actions_VH134387,num_actions_VH356862,count_Click Choice,count_Click Progress Navigator,count_DropChoice,count_Eliminate Choice,count_Enter Item,count_Math Keypress,count_Move Calculator,count_Next,count_Open Calculator,count_Receive Focus,count_Vertical Item Scroll,percentile5_BlockRev,percentile5_VH098519,percentile5_VH098740,percentile5_VH098753,percentile5_VH098759,percentile5_VH098783,percentile5_VH098808,percentile5_VH098810,percentile5_VH134366,percentile5_VH134387,percentile5_VH139047,percentile5_VH356862,sec_spent_std,poly_delta_sec_deg0_coeff0,poly_delta_sec_deg1_coeff0,poly_delta_sec_deg1_coeff1,poly_delta_sec_deg2_coeff1,poly_delta_sec_deg3_coeff0,poly_delta_sec_deg3_coeff1,poly_delta_sec_deg3_coeff3,poly_per_item_sec_deg0_coeff0,poly_per_item_sec_deg1_coeff0,poly_per_item_sec_deg2_coeff0,poly_per_item_sec_deg2_coeff1,poly_per_item_sec_deg3_coeff1,poly_per_item_sec_deg3_coeff2,poly_per_item_sec_deg3_coeff3,answer_count_top1,answer_count_unanswered,percentile5_EOSTimeLft,count_Erase,count_Highlight,count_Scratchwork Draw Mode On,count_TextToSpeech,count_Equation Editor Button,count_Clear Scratchwork
2333000033,46.32,67.74,99.62,51.724,56.4,137.887,22.863,182.993,129.81,99.116,78.61,190.666,101.084,7.27,1,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0,1.0,1.0,3,6.0,8.0,3.0,7.0,6.0,3,5.0,38.0,11.0,2,8.0,2.0,28.0,3.0,16,32.0,4.0,13,5.0,10.0,7.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,55.45864135467679,8.938363636363631,0.013809756557996005,7.95787092074592,-0.28908773192808435,-3.3462263431058776e-06,0.0028458271159131033,15.54494890706045,78.44133333333336,3.3309714285714285,-1.32626454427925,21.89867504848094,0.044306596997778856,14.484537827096624,22.02147875816994,10,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333000882,58.767,71.897,80.157,136.827,23.953,34.887,17.923,105.857,172.166,71.026,42.627,37.159,68.39,8.224,1,1.0,1.0,1.0,1.0,3.0,1,1.0,1.0,1.0,3.0,3,3.0,4.0,3.0,3.0,7.0,2,3.0,55.0,16.0,2,14.0,23.0,4.0,0.0,27,66.0,0.0,1,0.0,12.0,6.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1,41.369739895941464,6.999005988023954,-0.0037113973430076266,7.307051967493584,-0.12024822463363502,-7.738751751338872e-06,0.0026289782661474024,12.249922883833039,51.34959090909091,1.3513613777526832,-0.4053363212874083,9.863424124788258,0.04622800677583097,6.157729559570884,14.506568774703531,8,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2333000955,59.676,51.843,36.103,87.414,116.75,95.42,16.3,54.816,126.107,141.817,111.707,73.88,74.29,10.04,1,1.0,1.0,1.0,2.0,1.0,1,1.0,1.0,2.0,1.0,11,9.0,3.0,8.0,67.0,77.0,3,6.0,60.0,73.0,2,10.0,1.0,12.0,4.0,19,92.0,3.0,17,2.0,15.0,6.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,37.61996803004111,2.6182073434125206,0.0002717546008768923,2.5554320306099645,-0.013301548335314788,2.7031142876697037e-07,-0.00015794637655067991,2.274170358942817,72.26788235294117,2.3136568627450975,-0.9211702786377703,17.052381320949433,2.4296604747162016,-3.7506929394564703,40.367631578947304,12,5,0.0,12.0,4.0,10.0,0.0,0.0,0.0
2333001552,30.31,61.04,125.24,58.444,192.086,87.2,19.61,87.997,170.733,35.556,90.897,60.633,186.257,19.313,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,3,11.0,20.0,3.0,15.0,10.0,3,3.0,46.0,14.0,2,8.0,0.0,12.0,3.0,14,36.0,16.0,13,5.0,12.0,13.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,57.662006895744604,5.445848888888889,-0.015693495575221258,7.20352039331367,0.010529702732475676,-4.031638912374755e-06,0.0012375628249699851,8.464303062033073,85.46071428571429,0.6300131868131841,-0.8408962912087914,11.56166497252747,-4.516371224363886,29.97673681710451,43.330235294117756,2,8,0.0,33.0,0.0,1.0,19.0,0.0,0.0
2333001935,70.447,35.243,75.187,41.287,97.777,100.5,19.11,74.826,180.67,158.44,43.97,80.676,100.367,13.253,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,3,3.0,8.0,4.0,8.0,12.0,3,4.0,42.0,14.0,2,9.0,0.0,4.0,0.0,16,23.0,21.0,15,7.0,40.0,13.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,44.22487258443346,5.704816901408446,-0.020819953755330408,7.911731999473475,-0.1293176134657444,3.5882643090920183e-06,-0.0006292866365628928,10.041875522342844,72.71931250000003,2.7604514705882366,-0.9294070378151261,16.70155703781512,4.371044036845498,-14.088174315880098,51.64274999999975,10,11,0.0,0.0,0.0,0.0,0.0,15.0,0.0
2333001986,179.86,47.93,182.801,310.674,21.916,64.967,24.377,0.0,83.519,0.0,179.03,114.306,0.0,10.03,1,1.0,2.0,1.0,1.0,1.0,1,0.0,2.0,1.0,1.0,16,4.0,17.0,53.0,2.0,6.0,3,0.0,40.0,12.0,2,6.0,1.0,28.0,4.0,13,26.0,27.0,11,7.0,8.0,2.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,88.87789459330617,6.4862234042553135,0.01246785574319994,5.320478892266124,-0.15803807191052585,-4.57699022995126e-06,0.002195642164066707,12.078733735679647,109.74599999999997,-9.342800000000002,0.21041258741258778,-11.446925874125872,1.823664335664303,-17.598792540792427,163.48799300699304,12,12,0.0,0.0,18.0,4.0,0.0,0.0,1.0
2333002087,106.75,34.837,54.406,75.8,66.593,46.36,17.06,70.847,146.93,133.63,21.574,72.243,70.77,12.997,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,6,5.0,8.0,7.0,7.0,7.0,3,6.0,83.0,7.0,2,12.0,0.0,14.0,8.0,18,87.0,6.0,17,13.0,28.0,7.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1,38.60387045717944,4.522530075187969,0.0004064387171022733,4.468676945171918,-0.09968396347428776,-1.1805711562812738e-06,0.0008469766655327115,9.958749410521794,66.37977777777776,-1.1067017543859643,0.1487659313725485,-3.6357225877192887,4.569014834881326,-32.84403396972829,117.89278947368447,9,2,0.0,0.0,0.0,0.0,6.0,5.0,0.0
2333002141,87.217,59.15,261.954,189.684,0.0,107.293,59.046,0.0,149.856,0.0,0.0,287.19,0.0,8.827,1,1.0,1.0,1.0,0.0,1.0,1,0.0,1.0,0.0,1.0,14,8.0,72.0,21.0,0.0,10.0,3,0.0,45.0,0.0,2,6.0,4.0,4.0,11.0,9,22.0,10.0,4,6.0,9.0,6.0,0.0,1,1.0,1.0,1.0,0.0,1.0,1,1.0,0.0,1.0,1,90.04959398527892,6.020980099502483,-0.03593858430619181,9.614838530121665,-0.12582015732220359,1.6002210564661932e-05,-0.004351255304318522,6.2907196951313,115.45077777777782,0.35954999999999543,-4.55385606060606,36.79039848484849,4.726669191919265,8.794147306397052,84.5026565656567,5,15,0.0,15.0,0.0,1.0,8.0,0.0,0.0
2333002494,155.32,16.19,123.92,65.614,0.0,86.886,47.42,0.0,227.646,0.0,0.0,553.917,0.0,5.43,1,1.0,1.0,1.0,0.0,2.0,1,0.0,1.0,0.0,2.0,3,3.0,3.0,4.0,0.0,11.0,3,0.0,42.0,0.0,2,6.0,5.0,58.0,2.0,11,22.0,5.0,5,2.0,7.0,5.0,0.0,1,0.0,1.0,1.0,0.0,1.0,1,1.0,0.0,1.0,1,159.79512461559514,9.360167883211686,-0.022032688035544312,10.858390669628692,-0.21531790042418675,-2.1003017707879005e-05,0.005705830409382621,17.79093116265474,126.31555555555559,23.837483333333317,3.0635508658008654,-0.6709235930735957,90.26214682539685,-263.7200214045217,181.63679797979827,9,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333002672,85.52,58.134,148.01,115.54,71.126,140.47,26.07,86.2,159.156,0.0,239.934,39.833,19.467,11.973,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,40,10.0,7.0,14.0,7.0,7.0,3,6.0,94.0,124.0,2,8.0,0.0,4.0,0.0,13,24.0,14.0,12,8.0,15.0,10.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,1,63.744982641123684,3.651772036474165,-0.004305897397879752,4.357939209726443,-0.03254190096197842,1.298904181018704e-06,-0.00055297548034139,3.6259625544885377,92.04423076923078,-3.2064285714285656,-2.0192347652347684,21.024388611388652,6.129562437562383,-16.550620712620436,96.73856043955995,14,10,0.0,8.0,0.0,6.0,0.0,4.0,10.0
