STUDENTID,sec_spent_VH098519,sec_spent_VH098556,sec_spent_VH098597,sec_spent_VH098740,sec_spent_VH098753,sec_spent_VH098759,sec_spent_VH098779,sec_spent_VH098783,sec_spent_VH098808,sec_spent_VH098810,sec_spent_VH098812,sec_spent_VH098839,sec_spent_VH134366,sec_spent_VH134373,sec_spent_VH134387,sec_spent_VH139047,sec_spent_VH139196,sec_spent_VH356862,times_entered_VH098519,times_entered_VH098556,times_entered_VH098597,times_entered_VH098740,times_entered_VH098753,times_entered_VH098759,times_entered_VH098779,times_entered_VH098783,times_entered_VH098808,times_entered_VH098810,times_entered_VH098812,times_entered_VH098839,times_entered_VH134366,times_entered_VH134373,times_entered_VH134387,times_entered_VH139047,times_entered_VH139196,num_actions_VH098519,num_actions_VH098556,num_actions_VH098597,num_actions_VH098740,num_actions_VH098753,num_actions_VH098759,num_actions_VH098779,num_actions_VH098783,num_actions_VH098808,num_actions_VH098810,num_actions_VH098812,num_actions_VH098839,num_actions_VH134366,num_actions_VH134373,num_actions_VH134387,num_actions_VH139196,count_Calculator Buffer,count_Click Choice,count_Click Progress Navigator,count_DropChoice,count_Eliminate Choice,count_Enter Item,count_Math Keypress,count_Move Calculator,count_Vertical Item Scroll,percentile5_VH098519,percentile5_VH098740,percentile5_VH098753,percentile5_VH098759,percentile5_VH098783,percentile5_VH098808,percentile5_VH098810,percentile5_VH098812,percentile5_VH098839,percentile5_VH134366,percentile5_VH134387,percentile5_VH139047,percentile5_VH356862,percentile5_vh_count,sec_spent_std,poly_delta_sec_deg0_coeff0,poly_delta_sec_deg1_coeff0,poly_delta_sec_deg2_coeff0,poly_delta_sec_deg2_coeff1,poly_delta_sec_deg2_coeff2,poly_delta_sec_deg3_coeff0,poly_delta_sec_deg3_coeff1,poly_per_item_sec_deg1_coeff0,poly_per_item_sec_deg1_coeff1,poly_per_item_sec_deg2_coeff0,poly_per_item_sec_deg2_coeff1,poly_per_item_sec_deg2_coeff2,poly_per_item_sec_deg3_coeff0,poly_per_item_sec_deg3_coeff1,poly_per_item_sec_deg3_coeff2,poly_per_item_sec_deg3_coeff3,answer_count_top1,answer_count_top5,answer_count_unanswered,count_Erase,count_Highlight,count_Scratchwork Draw Mode On,count_TextToSpeech,count_Equation Editor Button,count_Clear Scratchwork,percentile5_HELPMAT8,sec_spent_BlockRev_last5,sec_spent_VH098522_last5,sec_spent_VH098753_last5,sec_spent_VH098783_last5,sec_spent_VH098812_last5,sec_spent_VH098834_last5,sec_spent_VH134387_last5,sec_spent_VH139196_last5,times_entered_VH098522_last5,times_entered_VH098597_last5,times_entered_VH098779_last5,times_entered_VH098834_last5,times_entered_VH098839_last5,times_entered_VH134373_last5,num_actions_BlockRev_last5,num_actions_VH098522_last5,num_actions_VH098556_last5,num_actions_VH098779_last5,num_actions_VH098834_last5,count_Calculator Buffer_last5,count_Eliminate Choice_last5,count_Enter Item_last5,count_Move Calculator_last5,count_Next_last5,count_Vertical Item Scroll_last5,percentile5_EOSTimeLft_last5,percentile5_VH098522_last5,percentile5_VH098556_last5,percentile5_VH098597_last5,percentile5_VH098753_last5,percentile5_VH098779_last5,percentile5_VH098783_last5,percentile5_VH098812_last5,percentile5_VH098834_last5,percentile5_VH098839_last5,percentile5_VH134373_last5,percentile5_VH134387_last5,percentile5_VH139196_last5,sec_spent_std_last5,poly_delta_sec_deg0_coeff0_last5,poly_delta_sec_deg1_coeff0_last5,poly_delta_sec_deg1_coeff1_last5,poly_delta_sec_deg2_coeff0_last5,poly_delta_sec_deg2_coeff1_last5,poly_delta_sec_deg2_coeff2_last5,poly_delta_sec_deg3_coeff0_last5,poly_delta_sec_deg3_coeff1_last5,poly_delta_sec_deg3_coeff2_last5,poly_delta_sec_deg3_coeff3_last5,poly_per_item_sec_deg0_coeff0_last5,poly_per_item_sec_deg1_coeff0_last5,poly_per_item_sec_deg1_coeff1_last5,poly_per_item_sec_deg2_coeff0_last5,poly_per_item_sec_deg2_coeff1_last5,poly_per_item_sec_deg2_coeff2_last5,poly_per_item_sec_deg3_coeff0_last5,poly_per_item_sec_deg3_coeff1_last5,poly_per_item_sec_deg3_coeff2_last5,poly_per_item_sec_deg3_coeff3_last5,answer_count_top1_last5,answer_count_top5_last5,answer_count_unanswered_last5,count_Draw_last5,count_Erase_last5,count_Scratchwork Draw Mode On_last5,count_Clear Scratchwork_last5
2333000033,46.32,15.54,70.803,67.74,99.62,51.724,61.053,56.4,137.887,22.863,182.993,72.62,129.81,103.44,78.61,190.666,101.084,7.27,1,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,5.0,4.0,6.0,8.0,3.0,5.0,7.0,6.0,3,5.0,4.0,38.0,6.0,11.0,17.0,7.0,14,6.0,28.0,3.0,29,34.0,4.0,7.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,22,50.121101515798955,9.18090710382513,0.010399152522459702,0.00042743272237095656,-0.06739360294905439,10.581332347671983,-2.5300029558700463e-05,0.007334340791896187,-9.18500621118013,228.15620158102774,1.6697852907961617,-44.250497317899516,345.0411719367591,-0.3419928992441578,12.442561616987126,-132.6556617725143,481.4963387351778,13,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.576,100.48,0.0,0.0,0.0,52.464,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,5.0,7.0,5.0,5.0,3.0,1.0,0.0,11,0.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.35887054381764,8.831931034482755,-0.43304285714285706,14.89453103448275,-0.03980135776965588,0.6813951604075079,9.879559955506112,0.006158921237272201,-0.29847604973508823,3.528048556274719,3.826572163515,112.01485714285717,-9.833035714285712,141.51396428571425,-6.451416666666682,28.875464285714408,109.25688095238081,-0.19608333333335254,-4.686666666666475,24.95379761904717,110.43338095238104,3,5,23,0.0,0.0,0.0,0.0
2333000882,58.767,24.974,50.116,71.897,80.157,136.827,23.933,23.953,34.887,17.923,105.857,56.664,172.166,71.026,42.627,37.159,68.39,8.224,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3,3.0,3.0,3.0,4.0,3.0,3.0,3.0,7.0,2,3.0,3.0,55.0,7.0,16.0,25.0,0.0,14,23.0,4.0,0.0,27,66.0,0.0,6.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,1,21,41.369739895941464,6.999005988023954,-0.0037113973430076266,0.0007020290800640208,-0.12024822463363502,10.511814717985834,-7.738751751338872e-06,0.0026289782661474024,1.3513613777526832,37.160296442687724,-0.4053363212874083,9.863424124788258,8.7867539525692,-0.014335375494071094,0.04622800677583097,6.157729559570884,14.506568774703531,8,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.363,31.433,0.0,0.0,0.0,45.937,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,9,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,19.183683648376494,8.524827586206897,-0.1776975369458128,11.012593103448271,-0.07113948478909539,1.814208037148859,2.0490180200222397,0.002334984820107162,-0.1692088472335963,2.8934380210023916,-0.24580506117905687,26.746777777777783,3.310466666666666,13.504911111111113,-1.6609567099567097,16.598120346320343,-1.9973515151515409,-0.44537205387205475,3.6835079365079504,0.4756519961519298,5.48489898989903,1,6,21,0.0,0.0,0.0,0.0
2333000955,59.676,29.917,44.91,94.323,36.103,87.414,25.613,116.75,95.42,18.347,54.816,83.28,128.077,141.817,111.707,73.88,74.29,10.04,1,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2,1.0,1.0,2.0,1.0,2.0,1.0,1.0,11,3.0,3.0,31.0,3.0,8.0,3.0,67.0,77.0,5,6.0,15.0,62.0,91.0,73.0,20.0,3.0,14,9.0,12.0,14.0,33,92.0,5.0,6.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,22,44.296385654843725,2.814314442413159,0.001535814183814561,1.3524510566271545e-05,-0.0058485685853697,3.065785271766025,-7.714172378856399e-08,7.670358234910552e-05,2.8965928853755027,214.97813833992078,-3.0839622388481103,67.65979990118582,-0.8992183794466889,-0.2833352298731019,5.841097502154599,-5.582357021011046,112.15153833992076,15,26,1,20.0,6.0,12.0,1.0,0.0,0.0,0.0,26.207,47.836,0.0,0.0,0.0,172.677,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,16.0,5.0,0.0,1.0,30.0,1.0,10.0,13,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,54.09873866583559,3.7469624999999995,-0.13237054617909055,8.975599074074076,0.00600338780874826,-0.6066381830702031,15.141078353658536,-0.0002177636995908217,0.03180838621026062,-1.4169586856176097,20.307239033641316,79.95424999999997,-10.2762857142857,115.92124999999994,5.38416666666666,-47.96545238095235,153.61041666666662,-2.949580808080793,36.354765151514954,-129.07892460317385,184.58101515151452,1,2,26,1.0,8.0,2.0,0.0
2333001552,30.31,17.52,26.263,61.04,125.24,58.444,66.003,192.086,87.2,19.61,87.997,28.014,170.733,213.146,90.897,60.633,186.257,19.313,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3.0,3.0,11.0,20.0,3.0,30.0,15.0,10.0,3,3.0,3.0,46.0,104.0,14.0,76.0,6.0,14,0.0,12.0,3.0,23,67.0,19.0,13.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,22,62.78072092703116,4.433651595744687,-0.011163494440995557,7.117223698143803e-05,-0.0378530833090348,8.190457842872457,9.96174789889325e-07,-0.0004891760823313068,4.134143421795597,32.2641304347826,-0.3471349520045172,11.42397741389046,7.964683794466418,-0.0044371194785382635,-0.2073656884305621,10.276982028688323,9.73509446640318,2,18,1,33.0,0.0,1.0,33.0,11.0,0.0,0.0,6.193,89.987,0.0,0.0,0.0,28.217,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,3.0,30.0,3.0,1.0,0.0,9,1.0,7.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,26.596820707152105,4.510000000000001,0.06309095279720281,2.491089510489512,0.0029187260190058693,-0.12370751241917288,4.452473395261455,8.835782897105763e-05,-0.005563625562215665,0.09176188930964833,3.3480712193864157,32.609000000000016,1.4289833333333333,26.893066666666666,-1.7718474025974016,15.603762554112548,10.355824242424235,0.3979915824915811,-6.547746392496376,30.011057840307803,3.669565656565632,0,6,21,25.0,0.0,0.0,0.0
2333001935,70.447,31.213,50.517,35.243,75.187,41.287,27.08,97.777,100.5,19.11,74.826,74.78,180.67,158.44,43.97,80.676,100.367,13.253,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,3.0,4.0,3.0,8.0,4.0,3.0,8.0,12.0,3,4.0,5.0,42.0,29.0,14.0,64.0,8.0,14,0.0,4.0,4.0,23,23.0,22.0,13.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,22,45.745388945700185,6.303916317991625,-0.0015454766006821254,0.0005944296844223565,-0.1430197414932029,12.076061496727373,2.1747601012691747e-06,-0.00018195967173073919,1.7025787690570315,51.0767865612648,-0.12217532467532453,4.268260587238847,42.52451383399211,-0.05521216975244432,1.6170080225266716,-10.004085293768021,64.5541695652174,13,22,6,0.0,0.0,0.0,0.0,15.0,0.0,0.0,29.42,144.26,0.0,0.0,0.0,43.067,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,9.0,3.0,3.0,3.0,1.0,4.0,7,1.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43.612564410841465,11.211923076923075,-0.16508649572649575,13.275504273504273,-0.09798647741147744,2.2845754395604416,3.476856532356515,0.0007394416039843369,-0.12571553756089004,2.5564681173454806,2.966641825607331,43.55757142857144,-4.301357142857143,56.46164285714284,-1.517690476190475,4.804785714285716,48.87319047619046,3.5731388888888724,-33.675940476190284,76.26756349206296,27.43435714285736,3,5,23,0.0,0.0,0.0,0.0
2333001986,179.86,0.0,0.0,47.93,182.801,310.674,0.0,46.206,64.967,24.377,103.13,53.39,83.519,276.37,179.03,114.306,133.364,10.03,1,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1,1.0,2.0,2.0,1.0,1.0,1.0,1.0,16,0.0,0.0,4.0,17.0,53.0,0.0,6.0,6.0,3,34.0,6.0,40.0,23.0,12.0,27.0,10.0,8,1.0,28.0,4.0,19,46.0,31.0,2.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,16,88.53295060421007,6.392549295774653,0.005451142188821984,0.00015040322935004058,-0.03711297171723947,7.6217260296412235,-1.9080592288872538e-06,0.000960374372012679,0.22396323529412349,112.67633823529405,-0.7255649509803935,11.107437500000014,87.28156495098034,-0.04766960056627061,0.3470010617606953,4.8770207059884445,93.78846542827628,14,19,6,0.0,48.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,49.243728239125936,8.01160869565218,-0.8803705533596844,17.6956847826087,0.18959319593449975,-5.051420863918678,32.29436086956518,-0.05053014087361913,1.8570878447639325,-19.40198087202653,55.639285953177165,63.12333333333334,59.89499999999998,3.2283333333333792,6.304999999999978,47.28500000000003,5.329999999999976,-0.6356932773109208,8.212079831932769,46.0136134453781,5.330000000000006,0,0,27,0.0,0.0,0.0,0.0
2333002087,106.75,66.143,126.587,34.837,54.406,75.8,31.227,66.593,46.36,17.06,70.847,48.433,146.93,133.63,21.574,72.243,70.77,12.997,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6,14.0,3.0,5.0,8.0,7.0,3.0,7.0,7.0,3,6.0,7.0,83.0,52.0,7.0,26.0,14.0,14,0.0,14.0,13.0,25,87.0,6.0,7.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,22,41.41846655334025,4.67937966101695,0.002951166247534289,0.00025232701814608945,-0.07123297708741604,7.868217222152818,-2.2039507926637005e-06,0.0012242693177107807,-0.19689497459062497,66.0935335968379,-0.0997391304347826,1.897626764539807,59.1117944664032,0.0009574648082657917,-0.12989927189515482,2.145131417476511,58.72976600790512,9,23,0,0.0,2.0,0.0,6.0,5.0,1.0,0.0,8.443,123.857,0.0,0.0,0.0,41.163,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,15.0,14.0,3.0,6.0,1.0,13.0,9,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,40.55008435382152,5.894978723404257,-0.03575670675300647,6.717382978723406,-0.009174819233891515,0.3862849780060035,3.552070343030823,-0.0008618988550764695,0.05029620176638482,-0.6962599839700404,7.477157729049078,44.00371428571431,-1.8634642857142847,49.59410714285713,-3.4074642857142883,18.581321428571453,32.55678571428568,2.9810833333333213,-30.23721428571413,78.20298809523769,14.670285714285956,1,5,23,0.0,0.0,0.0,1.0
2333002141,87.217,0.0,76.5,59.15,270.194,189.684,0.0,36.3,107.293,59.046,82.793,57.26,149.856,126.517,92.463,287.19,117.37,8.827,1,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14,0.0,7.0,8.0,76.0,21.0,0.0,6.0,10.0,3,8.0,13.0,45.0,66.0,15.0,37.0,11.0,12,11.0,4.0,15.0,18,36.0,18.0,6.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1,17,77.75297641205934,5.045228412256257,-0.01658180752452239,0.00011423137824676671,-0.05747664093686485,10.44661454718015,-1.594221080962923e-07,0.00019984105029447572,1.4717377450980398,90.51303921568628,-0.8326892414860673,14.794765608875126,57.20546955624359,0.085076066391469,-2.874514834881329,27.471099501204062,42.9126904024769,5,18,8,17.0,6.0,1.0,8.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.626,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,41.68650048636848,2.9846464646464637,0.040948150896722345,0.9781870707070704,0.002315743760363836,-0.18599473761893356,4.647097101710173,-1.0351823069626897e-05,0.003837461751598985,-0.24534380964171806,5.119438366189556,59.526799999999994,10.285300000000001,38.95619999999997,-17.759642857142868,81.32387142857148,3.4369142857141997,-5.386749999999946,14.560857142856797,34.997821428572024,9.901014285714124,0,1,25,0.0,0.0,0.0,0.0
2333002494,155.32,0.0,0.0,16.19,126.437,65.614,0.0,33.434,86.886,47.42,125.823,0.0,227.646,0.0,129.053,553.917,235.683,5.43,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1,1.0,0.0,1.0,0.0,1.0,2.0,2.0,3,0.0,0.0,3.0,4.0,4.0,0.0,3.0,11.0,3,3.0,0.0,42.0,0.0,7.0,9.0,2.0,9,9.0,58.0,2.0,17,25.0,5.0,5.0,1,0.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1.0,1.0,1,13,138.27965748359594,11.187388888888895,0.042678455348233946,0.0019099345191237957,-0.2648210022306973,15.95175876879423,-6.316988811995197e-06,0.003435487317220632,14.981784615384619,30.262971428571422,-0.1189903846153832,16.52865961538459,27.16922142857148,-0.9468555121349144,18.344692102015426,-75.97912392019622,108.40942436974609,10,16,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.74,0.0,0.0,235.683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,109.86836921516584,20.077250000000003,-4.827381118881114,46.6278461538461,-0.5268079420579417,0.9675062437562402,36.969700549450536,0.6714621859621843,-11.605934010433986,47.63412816812808,3.7323223443222067,80.89466666666668,117.84499999999998,-36.95033333333322,121.34199999999994,-124.839,3.4969999999999963,31.24719327731094,27.600420168067195,-62.34461344537823,3.4970000000000843,0,1,27,0.0,0.0,0.0,0.0
2333002672,85.52,15.48,40.827,58.134,148.01,115.54,15.643,71.126,140.47,26.07,86.2,59.596,159.156,193.65,239.934,39.833,176.204,11.973,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,40,3.0,3.0,10.0,7.0,14.0,3.0,7.0,7.0,3,6.0,6.0,94.0,20.0,124.0,115.0,10.0,14,0.0,4.0,0.0,22,43.0,15.0,10.0,1,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,1,20,65.2076241920798,3.3170127970749497,-0.002875533932433537,1.2788752588667789e-05,-0.009858192845846157,4.736291745264292,-1.5393025821468406e-07,0.00013885763406649412,4.183301298701298,44.49617748917748,-0.22454872358762523,8.674275770453805,30.274758328627918,-0.059053151653837725,1.5470458260275057,-5.155972346874978,50.47093619424031,20,25,1,10.0,2.0,9.0,0.0,6.0,19.0,0.0,0.0,69.327,0.0,0.0,0.0,59.29,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,66.0,3.0,3.0,3.0,2.0,0.0,8,1.0,6.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,23.67186436468408,2.7066923076923097,-0.05062541342152995,5.313901098901099,-0.00046319608486510347,-0.002916216680424306,4.502844754302303,8.641796802368326e-05,-0.013814772144524182,0.5445156853592027,-0.08208646458462691,35.320499999999996,1.8968809523809547,28.681416666666646,-1.3442023809523809,11.306297619047625,19.271999999999963,-0.13626262626262395,0.08655519480517018,7.5590753968254605,20.702757575757555,5,6,22,55.0,1.0,2.0,2.0
