,pred,truth,fold,leaf_size,STUDENTID,label,sec_spent_BlockRev,sec_spent_EOSTimeLft,sec_spent_VH098519,sec_spent_VH098522,sec_spent_VH098556,sec_spent_VH098597,sec_spent_VH098740,sec_spent_VH098753,sec_spent_VH098759,sec_spent_VH098779,sec_spent_VH098783,sec_spent_VH098808,sec_spent_VH098810,sec_spent_VH098812,sec_spent_VH098834,sec_spent_VH098839,sec_spent_VH134366,sec_spent_VH134373,sec_spent_VH134387,sec_spent_VH139047,sec_spent_VH139196,sec_spent_VH356862,times_entered_BlockRev,times_entered_EOSTimeLft,times_entered_VH098519,times_entered_VH098522,times_entered_VH098556,times_entered_VH098597,times_entered_VH098740,times_entered_VH098753,times_entered_VH098759,times_entered_VH098779,times_entered_VH098783,times_entered_VH098808,times_entered_VH098810,times_entered_VH098812,times_entered_VH098834,times_entered_VH098839,times_entered_VH134366,times_entered_VH134373,times_entered_VH134387,times_entered_VH139047,times_entered_VH139196,times_entered_VH356862,num_actions_BlockRev,num_actions_EOSTimeLft,num_actions_VH098519,num_actions_VH098522,num_actions_VH098556,num_actions_VH098597,num_actions_VH098740,num_actions_VH098753,num_actions_VH098759,num_actions_VH098779,num_actions_VH098783,num_actions_VH098808,num_actions_VH098810,num_actions_VH098812,num_actions_VH098834,num_actions_VH098839,num_actions_VH134366,num_actions_VH134373,num_actions_VH134387,num_actions_VH139047,num_actions_VH139196,num_actions_VH356862,count_Calculator Buffer,count_Click Choice,count_Click Progress Navigator,count_DropChoice,count_Eliminate Choice,count_Enter Item,count_Lose Focus,count_Math Keypress,count_Move Calculator,count_Next,count_Open Calculator,count_Receive Focus,count_Vertical Item Scroll,percentile5_BlockRev,percentile5_EOSTimeLft,percentile5_VH098519,percentile5_VH098522,percentile5_VH098556,percentile5_VH098597,percentile5_VH098740,percentile5_VH098753,percentile5_VH098759,percentile5_VH098779,percentile5_VH098783,percentile5_VH098808,percentile5_VH098810,percentile5_VH098812,percentile5_VH098834,percentile5_VH098839,percentile5_VH134366,percentile5_VH134373,percentile5_VH134387,percentile5_VH139047,percentile5_VH139196,percentile5_VH356862,percentile5_vh_count,sec_spent_std,poly_delta_sec_deg0_coeff0,poly_delta_sec_deg1_coeff0,poly_delta_sec_deg1_coeff1,poly_delta_sec_deg2_coeff0,poly_delta_sec_deg2_coeff1,poly_delta_sec_deg2_coeff2,poly_delta_sec_deg3_coeff0,poly_delta_sec_deg3_coeff1,poly_delta_sec_deg3_coeff2,poly_delta_sec_deg3_coeff3,poly_per_item_sec_deg0_coeff0,poly_per_item_sec_deg1_coeff0,poly_per_item_sec_deg1_coeff1,poly_per_item_sec_deg2_coeff0,poly_per_item_sec_deg2_coeff1,poly_per_item_sec_deg2_coeff2,poly_per_item_sec_deg3_coeff0,poly_per_item_sec_deg3_coeff1,poly_per_item_sec_deg3_coeff2,poly_per_item_sec_deg3_coeff3,answer_rank_VH098808,"answer_rank_VH139196_C,1",answer_rank_VH098810,answer_rank_VH134366_5,answer_rank_VH134366_2,answer_rank_VH134366_3,answer_rank_VH098779,"answer_rank_VH139196_B,1",answer_rank_VH139047_3,answer_rank_VH098839,answer_rank_VH134366_4,answer_rank_VH098812,answer_rank_VH098759,answer_rank_VH139047_4,answer_rank_VH134373_1,answer_rank_VH134387_1,answer_rank_VH098834,answer_rank_VH098783,answer_rank_VH098556,answer_rank_VH098519,answer_rank_VH134366_1,answer_rank_VH098597,answer_rank_VH139047_1,answer_rank_VH098522,"answer_rank_VH139196_A,1",answer_rank_VH098740,answer_rank_VH139047_2,answer_rank_VH098753,answer_count_top1,answer_count_top2,answer_count_top3,answer_count_top4,answer_count_top5,answer_count_unanswered,count_Draw,count_Erase,count_Scratchwork Draw Mode On,count_Scratchwork Erase Mode On,count_Scratchwork Mode Off,count_Scratchwork Mode On,count_Equation Editor Button,count_Clear Scratchwork,count_Highlight,count_TextToSpeech,sec_spent_SecTimeOut,times_entered_SecTimeOut,num_actions_SecTimeOut,percentile5_SecTimeOut,sec_spent_HELPMAT8,times_entered_HELPMAT8,num_actions_HELPMAT8,percentile5_HELPMAT8
0,1.0,True,1,11,2333000033,1.0,22.659,8.06,46.32,100.48,15.54,70.803,67.74,99.62,51.724,61.053,56.4,137.887,22.863,182.993,52.464,72.62,129.81,103.44,78.61,190.666,101.084,7.27,4.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7.0,2.0,3.0,7.0,5.0,4.0,6.0,8.0,3.0,5.0,7.0,6.0,3.0,5.0,3.0,4.0,38.0,6.0,11.0,31.0,17.0,2,7.0,14.0,6.0,28.0,3.0,29,11.0,34.0,4.0,20.0,7.0,11.0,7.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22,50.121101515798955,9.18090710382513,0.010399152522459702,8.234584224281306,0.00042743272237095656,-0.06739360294905439,10.581332347671983,-2.5300029558700463e-05,0.007334340791896187,-0.5688401888024975,18.082234511176335,131.71363636363634,-9.18500621118013,228.15620158102774,1.6697852907961617,-44.250497317899516,345.0411719367591,-0.3419928992441578,12.442561616987126,-132.6556617725143,481.4963387351778,3,2,2,1,1,1,3,1,2,2,1,4,2,2,11,4,1,1,1,5,1,1,1,3,2,2,1,1,13,21,24,26,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
6,1.0,True,0,4,2333000882,1.0,3.363,2.554,58.767,31.433,24.974,50.116,71.897,80.157,136.827,23.933,23.953,34.887,17.923,105.857,45.937,56.664,172.166,71.026,42.627,37.159,68.39,8.224,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,7.0,2.0,3.0,3.0,3.0,55.0,7.0,16.0,10.0,25.0,2,0.0,14.0,23.0,4.0,0.0,27,12.0,66.0,0.0,1.0,0.0,12.0,6.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,21,41.369739895941464,6.999005988023954,-0.0037113973430076266,7.307051967493584,0.0007020290800640208,-0.12024822463363502,10.511814717985834,-7.738751751338872e-06,0.0026289782661474024,-0.24781380850270518,12.249922883833039,51.34959090909091,1.3513613777526832,37.160296442687724,-0.4053363212874083,9.863424124788258,8.7867539525692,-0.014335375494071094,0.04622800677583097,6.157729559570884,14.506568774703531,3,2,2,1,1,3,2,1,4,3,1,4,2,1,12,3,5,1,2,5,1,1,3,5,2,3,2,4,8,15,21,24,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
7,0.2,True,2,6,2333000955,1.0,26.207,6.33,59.676,47.836,29.917,44.91,94.323,36.103,87.414,25.613,116.75,95.42,18.347,54.816,172.677,83.28,128.077,141.817,111.707,73.88,74.29,10.04,4.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1,16.0,2.0,11.0,5.0,3.0,3.0,31.0,3.0,8.0,3.0,67.0,77.0,5.0,6.0,30.0,15.0,62.0,91.0,73.0,14.0,20.0,2,3.0,14.0,9.0,12.0,14.0,33,15.0,92.0,5.0,21.0,3.0,15.0,6.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22,44.296385654843725,2.814314442413159,0.001535814183814561,2.3950371702317867,1.3524510566271545e-05,-0.0058485685853697,3.065785271766025,-7.714172378856399e-08,7.670358234910552e-05,-0.01963425747672886,3.6901629785051817,245.39236363636363,2.8965928853755027,214.97813833992078,-3.0839622388481103,67.65979990118582,-0.8992183794466889,-0.2833352298731019,5.841097502154599,-5.582357021011046,112.15153833992076,1,2,1,1,1,3,1,3,1,2,1,2,4,1,10,2,3,1,1,1,2,2,1,1,1000,2,1,1,15,22,25,26,26,1,203.0,20.0,12.0,8.0,19.0,17.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
9,1.0,True,2,17,2333001552,1.0,6.193,1.95,30.31,89.987,17.52,26.263,61.04,125.24,58.444,66.003,192.086,87.2,19.61,87.997,28.217,28.014,170.733,213.146,90.897,60.633,186.257,19.313,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,3.0,2.0,3.0,3.0,3.0,3.0,11.0,20.0,3.0,30.0,15.0,10.0,3.0,3.0,3.0,3.0,46.0,104.0,14.0,16.0,76.0,2,6.0,14.0,0.0,12.0,3.0,23,31.0,67.0,19.0,20.0,6.0,31.0,13.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22,62.78072092703116,4.433651595744687,-0.011163494440995557,6.526806803431349,7.117223698143803e-05,-0.0378530833090348,8.190457842872457,9.96174789889325e-07,-0.0004891760823313068,0.04608729415897228,5.58480080151358,75.67263636363637,4.134143421795597,32.2641304347826,-0.3471349520045172,11.42397741389046,7.964683794466418,-0.0044371194785382635,-0.2073656884305621,10.276982028688323,9.73509446640318,4,1000,1,20,10,15,3,17,3,3,21,3,2,1,17,26,3,4,3,4,14,4,2,5,24,5,4,3,2,4,11,16,18,1,42.0,33.0,1.0,2.0,3.0,3.0,11.0,0.0,0.0,33.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
14,1.0,True,3,36,2333001935,1.0,29.42,14.546,70.447,144.26,31.213,50.517,35.243,75.187,41.287,27.08,97.777,100.5,19.11,74.826,43.067,74.78,180.67,158.44,43.97,80.676,100.367,13.253,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,4.0,2.0,3.0,9.0,3.0,4.0,3.0,8.0,4.0,3.0,8.0,12.0,3.0,4.0,3.0,5.0,42.0,29.0,14.0,10.0,64.0,2,8.0,14.0,0.0,4.0,4.0,23,38.0,23.0,22.0,20.0,8.0,40.0,13.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22,45.745388945700185,6.303916317991625,-0.0015454766006821254,6.487828033472804,0.0005944296844223565,-0.1430197414932029,12.076061496727373,2.1747601012691747e-06,-0.00018195967173073919,-0.06926231770663861,10.628561181115545,68.95386363636364,1.7025787690570315,51.0767865612648,-0.12217532467532453,4.268260587238847,42.52451383399211,-0.05521216975244432,1.6170080225266716,-10.004085293768021,64.5541695652174,2,1000,2,1,1000,3,1,1000,1,2,1,3,5,1,1000,1000,2,1,1,1,2,1,1,3,1000,1,1,1,13,18,21,21,22,6,0.0,0.0,0.0,0.0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
15,1.0,True,1,11,2333001986,1.0,0.0,0.0,179.86,0.0,0.0,0.0,47.93,182.801,310.674,0.0,46.206,64.967,24.377,103.13,0.0,53.39,83.519,276.37,179.03,114.306,133.364,10.03,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,1,0.0,0.0,16.0,0.0,0.0,0.0,4.0,17.0,53.0,0.0,6.0,6.0,3.0,34.0,0.0,6.0,40.0,23.0,12.0,33.0,27.0,2,10.0,8.0,1.0,28.0,4.0,19,16.0,46.0,31.0,15.0,10.0,16.0,2.0,0,0,True,0,0,0,True,True,True,0,True,True,True,True,0,True,True,True,True,True,True,True,16,88.53295060421007,6.392549295774653,0.005451142188821984,5.62121267605634,0.00015040322935004058,-0.03711297171723947,7.6217260296412235,-1.9080592288872538e-06,0.000960374372012679,-0.12864009244996322,9.76118380587032,114.35606250000005,0.22396323529412349,112.67633823529405,-0.7255649509803935,11.107437500000014,87.28156495098034,-0.04766960056627061,0.3470010617606953,4.8770207059884445,93.78846542827628,1,16,1,1,1,1,1000,4,1,1000,1,1,1,1,15,2,1000,1,1000,2,1,1000,1,1000,11,3,1,3,14,16,18,19,19,6,12.0,0.0,4.0,0.0,4.0,4.0,0.0,1.0,48.0,0.0,5.53,1.0,2.0,True,0.0,0.0,0.0,0
16,0.0,False,2,10,2333002087,0.0,8.443,3.767,106.75,123.857,66.143,126.587,34.837,54.406,75.8,31.227,66.593,46.36,17.06,70.847,41.163,48.433,146.93,133.63,21.574,72.243,70.77,12.997,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,5.0,2.0,6.0,15.0,14.0,3.0,5.0,8.0,7.0,3.0,7.0,7.0,3.0,6.0,6.0,7.0,83.0,52.0,7.0,21.0,26.0,2,14.0,14.0,0.0,14.0,13.0,25,27.0,87.0,6.0,21.0,14.0,28.0,7.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,22,41.41846655334025,4.67937966101695,0.002951166247534289,4.24555822262941,0.00025232701814608945,-0.07123297708741604,7.868217222152818,-2.2039507926637005e-06,0.0012242693177107807,-0.18533944384646922,10.640067068204713,64.02613636363637,-0.19689497459062497,66.0935335968379,-0.0997391304347826,1.897626764539807,59.1117944664032,0.0009574648082657917,-0.12989927189515482,2.145131417476511,58.72976600790512,2,2,1,9,6,14,2,1,1,2,1,3,4,1,26,3,2,4,1,3,6,5,1,3,2,2,1,1,9,16,20,22,23,0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,2.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0
17,1.0,True,0,5,2333002141,1.0,0.0,0.0,87.217,0.0,0.0,76.5,59.15,270.194,189.684,0.0,36.3,107.293,59.046,82.793,0.0,57.26,149.856,126.517,92.463,287.19,117.37,8.827,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,14.0,0.0,0.0,7.0,8.0,76.0,21.0,0.0,6.0,10.0,3.0,8.0,0.0,13.0,45.0,66.0,15.0,26.0,37.0,2,11.0,12.0,11.0,4.0,15.0,18,31.0,36.0,18.0,4.0,11.0,31.0,6.0,0,0,True,0,0,True,True,True,True,0,True,True,True,True,0,True,True,True,True,True,True,True,17,77.75297641205934,5.045228412256257,-0.01658180752452239,8.013371959145775,0.00011423137824676671,-0.05747664093686485,10.44661454718015,-1.594221080962923e-07,0.00019984105029447572,-0.06971885592410879,10.80929136184306,102.28694117647058,1.4717377450980398,90.51303921568628,-0.8326892414860673,14.794765608875126,57.20546955624359,0.085076066391469,-2.874514834881329,27.471099501204062,42.9126904024769,2,7,1,1,1000,1,1000,1000,2,3,2,2,3,2,9,5,1000,3,1000,1,1,1000,2,1000,1000,2,2,2,5,14,17,17,18,8,61.0,17.0,1.0,6.0,5.0,5.0,15.0,2.0,6.0,8.0,3.577,1.0,2.0,True,0.0,0.0,0.0,0
19,0.6,False,2,4,2333002494,0.0,0.0,0.0,155.32,0.0,0.0,0.0,16.19,126.437,65.614,0.0,33.434,86.886,47.42,125.823,0.0,0.0,227.646,0.0,129.053,553.917,235.683,5.43,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,4.0,0.0,3.0,11.0,3.0,3.0,0.0,0.0,42.0,0.0,7.0,66.0,9.0,2,2.0,9.0,9.0,58.0,2.0,17,11.0,25.0,5.0,5.0,2.0,11.0,5.0,0,0,True,0,0,0,False,True,True,0,True,True,True,True,0,0,True,0,True,True,True,True,13,138.27965748359594,11.187388888888895,0.042678455348233946,7.751773233356062,0.0019099345191237957,-0.2648210022306973,15.95175876879423,-6.316988811995197e-06,0.003435487317220632,-0.3627627552662764,17.24542754158035,127.64457142857142,14.981784615384619,30.262971428571422,-0.1189903846153832,16.52865961538459,27.16922142857148,-0.9468555121349144,18.344692102015426,-75.97912392019622,108.40942436974609,3,1000,1,3,1,1,1000,1000,1,1000,1,3,2,1,1000,22,1000,1,1000,1,1000,1000,1,1000,1000,4,1,2,10,12,15,16,16,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.504,1.0,2.0,True,0.0,0.0,0.0,0
21,1.0,True,0,3,2333002672,1.0,0.0,0.0,85.52,69.327,15.48,40.827,58.134,148.01,115.54,15.643,71.126,140.47,26.07,86.2,59.29,59.596,159.156,193.65,239.934,39.833,176.204,11.973,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,0.0,40.0,66.0,3.0,3.0,10.0,7.0,14.0,3.0,7.0,7.0,3.0,6.0,3.0,6.0,94.0,20.0,124.0,12.0,115.0,2,10.0,14.0,0.0,4.0,0.0,22,21.0,43.0,15.0,19.0,10.0,24.0,10.0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,20,65.2076241920798,3.3170127970749497,-0.002875533932433537,4.10203356062931,1.2788752588667789e-05,-0.009858192845846157,4.736291745264292,-1.5393025821468406e-07,0.00013885763406649412,-0.037366453570359545,5.9821884779491565,86.32919047619046,4.183301298701298,44.49617748917748,-0.22454872358762523,8.674275770453805,30.274758328627918,-0.059053151653837725,1.5470458260275057,-5.155972346874978,50.47093619424031,1,17,1,1,1,1,1,1,1,1,1,3,1,1,1000,8,2,1,1,1,1,1,1,1,2,5,1,4,20,22,23,24,25,1,266.0,10.0,9.0,8.0,12.0,12.0,6.0,19.0,2.0,0.0,2.423,1.0,2.0,True,0.0,0.0,0.0,0
